"Anfangsbuchstabe","Title","Begriff","Hinweis","Link"
"A","A-Sound","Außen-Sound",,
"A","ÄA","Änderungsantrag",,
"A","AAG","Anhängeranschlussgerät",,
"A","ABD","Anzeige-Bediendisplay",,
"A","ABS","Antiblockiersystem",,
"A","ACC","Adaptive Cruise Control (Long Range Radar Master) ""Steuergerät f. Abstandsregelung""",,
"A","ACC Innodrive","ACC Innodrive",,
"A","ACC2","Adaptive Cruise Control (Long Range Radar Slave) ""Steuergerät f. Abstandsregelung 2""ACJ",,
"A","ACJ","Anti Car Jacking (auch VTS genannt)",,
"A","AEM","Active Engine Mount ""Aggregatelagerung""",,
"A","Aero SG","Steuergerät für Spoiler- und weitere Aerodynamikfunktionen",,
"A","AFP","Audi Fahrwerk Plattform (heute EFP)",,
"A","AFS","Advanced Frontlightning System (Kurvenlicht)",,
"A","AKH","Audi Kinematik Hinterachse",,
"A","Allrad_HangOn","Allradsteuerung für PAG HangOn (im PO623 integriert im Getriebe-SG)",,
"A","Allrad_QUOD","Allradsteuerung für Quattro on Demand (Audi)",,
"A","Allrad_USG","Allradsteuerung für PL73 Untersetzungsgetriebe (VW)",,
"A","ALM 1-n","Ambiente Licht Modul 1-n (bis zu n-mal vorhanden)",,
"A","ALWR","Automatische Leuchtweitenregulierung",,
"A","APS","Audi Parking System",,
"A","APW","Aquaplaning Warner",,
"A","AQS","Air Quality Sensor",,
"A","ARA","Anhänger Rangier-Assistent",,
"A","ASD","Ausstellbares Schiebedach",,
"A","ASG","Antriebssteuergerät",,
"A","ASM","Assistenz System Monitor",,
"A","ASR","Antriebsschlupfregelung",,
"A","ATF-Pumpe","Automatic Transmission Fluid-Pumpe (für DL702)",,
"A","AWC","Automatic Wireless Charging",,
"A","AWS","AktiveWankStabilisierung",,
"B","BAP","Bedien- und Anzeigeprotokoll",,
"B","BC","Bord Computer",,
"B","BCM1","Body Control Module 1",,
"B","BCM2","Body Control Module 2",,
"B","BDE","Benzindirekteinspritzung",,
"B","BDM","Batteriedatenmodul",,
"B","BDM2","Batteriedatenmodul für Zustartbatterie",,
"B","BEB","Bedieneinheit Basis hinten",,
"B","Bediendisplay MSB","Bediendisplay",,
"B","BEM","Batterie Energie Management",,
"B","BJB","Batterie Junction Box (Batterietrennschalter)",,
"B","BJM","Batterie Junction Module (Batterietrennschalter)",,
"B","BKE","Bedien-/Klimaeinheit (Klimasteuergerät mit Bedienelemente)",,
"B","BMC","Batery Management Controller",,
"B","BMS 400V","Batterie-Management-System",,
"B","BMS 48V","Battery Management System 48V",,
"B","BSD","Blind Spot Detection (Totwinkelerkennung)",,
"B","BVS","Bildverarbeitungssteuergerät",,
