"Anfangsbuchstabe","Title","Begriff","Hinweis","Link"
"0-9","0-S	","0-Serie, Anlaufserie",,
"0-9","4WD	","Four-Wheel-Drive",,
"A","A2L","Beschreibungsdatei enthält alle Informationen über die relevanten Datenobjekte im Steuergerät",,
"A","A2R","Account-to-Report ","E2E-Prozess: von der Buchung zur Berichterstattung ",
"A","AA","Arbeitsanweisung",,
"A","ÄA","Änderungsantrag",,
"A","AAA","Authentication, Authorization, Accounting",,
"A","AAB","Allgemeine Ausfuhrbestimmungen",,
"A","AAG","Anhängeranschlussgerät",,
"A","AAK","Aktive Aufbau Kontrolle",,
"A","AAN","Anforderungsanalyse",,
"A","AAP","Advanced Analytics Plattform",,
"A","AAS","amtlich anerkannter Sachverständiger",,
"A","AAV","All Activity Vehicle",,
"A","AB","Auftragsbestand",,
"A","ÄB","Änderungsbegehren",,
"A","ABC","Activ Body Control","aktive Fahrwerksregelung",
"A","ABD","Automatisches Bremsdifferential",,
"A","ABE","Allgemeine Betriebserlaubnis",,
"A","ABG","Allgemeine Bauartgenehmigung",,
"A","ABP","Automatisierte-Bordnetz-Prüfung",,
"A","ABPV","Ausstattungsbereinigter Preisvergleich",,
"A","ABS","Asset Backed Securities",,
"A","ABS","Acrylnitril-Butadien-Styrol",,
"A","ABS","Anti-Blockiersystem",,
"A","ABS","AV-Sachbearbeiter-Schlüssel",,
"A","ABT","Anzeige- und Bedienteil",,
"A","ABV","Automatischer Blockierverhinderer",,
"A","AC","Air Condition",,
"A","AC","Alternating Current","Wechselstrom",
"A","ACC","Adapative Cruise Control","Abstandssensibler Tempostat","https://www.porsche.com/middle-east/_nigeria_/models/cayenne/#from=/middle-east/_nigeria_/models/cayenne/cayenne-models-e2/cayenne/"
"A","ACCF","Audi Connect ChangeForm",,
"A","ACD","Active Controlled Damping","elektronisch gesteuerte Dämpfung",
"A","ACEA","Association des Constructeurs Européens d' Automobiles","European Automobile Manufacturers",
"A","Achslastverteilung","ALV",,
"A","ACSP","Advanced Crypto Service Provider (IBM Technologie)",,
"A","AD","Außendienst",,
"A","ADAC","Allgemeiner Deutscher Automobilclub",,
"A","ADE","Anforderungsdefinition","lt. PVM",
"A","ADL","Automatic Doorlock",,
"A","ADR","Automatische Distanzregelung, Aktive Dämpferregelung",,
"A","AE","Abweicherlaubnis",,
"A","AE","Aggregate-Entscheid",,
"A","AE","Auftragseingang",,
"A","AECD","Auxiliary Emission Control Device",,
"A","AER","All Electric Range",,
"A","AES","Auxiliary Emission Strategy",,
"A","AESIS","Audi Electronic Service Information System",,
"A","AF","Auftragsfreigabe",,
"A","AfA","Abschreibung für Abnutzung","Abschreibung für Abnutzung",
"A","AFK","Alternativer Freigabekreis",,
"A","AFS","Adaptive Front-Lighting System",,
"A","AfU","Amt für Umweltschutz",,
"A","AG","Auftraggeber",,
"A","AG","Arbeitsgruppe",,
"A","AG10","Inbetriebnahmedurchlauf","Checkliste für Inbetriebnahme der Prototypen",
"A","AGA","Abgasanlage",,
