"Titel","Abkürzung","Begriff"
"A","AEO","Authorized Economic Operator; siehe ""Zugelassener Wirtschaftsbeteiligter""."
"A","ATLAS","Das ATLAS-Verfahren (Automatisiertes Tarif- und Lokales Zoll-Abwicklungs-System) der deutschen Zollverwaltung dient der elektronischen Zollabwicklung und ersetzt damit die vormals papierbasierte Kommunikation zwischen Wirtschaftsbeteiligten und Zollverwaltungen durch elektronische Nachrichten im EDIFACT-Format. Größere Unternehmen verwenden hierfür spezielle Software, die an das ATLAS-System sowie ggf. an vorgelagerte IT-Systeme des Unternehmens (bspw. Buchhaltung mit SAP) angebunden ist."
"A","Außenhandel","Internationaler Austausch von Waren, Dienstleistungen und Kapital über internationale Grenzen oder Hoheitsgebiete."
"A","Außenwirtschaftsverordnung","Die Außenwirtschaftsverordnung (AWV) ist die Verordnung zur Durchführung des deutschen Außenwirtschaftsgesetzes. Sie enthält die Genehmigungs-, Verfahrens- und Meldebestimmungen sowie die dazugehörigen Straf- und Bußgeldvorschriften. Zusammen mit der Dual-Use-Verordnung regelt die AWV die deutsche Exportkontrolle."
"A","ASAK","Assistenzsystem für Arbeitskleidung"
"B","BFH","Bundesfinanzhof"
"B","BSt","Betriebsstätte"
"C","Carnet ATA-Verfahren","Das Carnet ATA ist ein internationales Zollpassierscheinheft (d. h. eine Art ""Reisepass für Waren""), das die vorübergehende Verwendung von Waren in einem Nicht-EU-Land erleichtert. Das Carnet ATA ermöglicht eine zügige Grenzabfertigung ohne zusätzliche Zollformalitäten. "
"D","Drittstaat/Drittland","Als Drittstaat (auch Drittland) bezeichnet man ein Land, das nicht Vertragspartei oder Mitglied eines Abkommens oder Staatenbündnisses ist. Beispielsweise spricht man von Drittstaaten bei solchen, die nicht der EU angehören."
"D","Dual-Use-Gut","Ein Dual-Use-Gut kann sowohl für militärische als auch für zivile Zwecke verwendet werden. Ein Beispiel hierfür sind Kameras mit Nachtsichtfunktion, die sowohl im militärischen Bereich als auch in zivilen Fahrzeugen (z.B. zur Fußgängererkennung) verwendet werden können. Im Exportbereich gelten für Dual-Use-Güter besondere Kontrollvorschriften und ggf. Genehmigungspflichten oder Verbote für den Export in bestimmte Länder."
"D","DAC6","Gesetzliche Pflicht zur Mitteilung grenzüberschreitender Steuergestaltungen"
"D","DAC7","Gesetzliche Verpflichtung von Betreibern von Vermittlungsplattformen zur Offenlegung der Finanzinformationen ihrer Nutzer"
